Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Wnt,  ,Marko Cvijanović,£80K,1,89,Serbian SuperLeague,,,,8.05,0.31,78,,,0.02,,0.05,,0.05,0.08,17%,5.37,1.14,8%,3.61,0.31,9%,3,13.5km,1.03,45.31,37.78,16.41,18.68,3.82,0.1,0.62,0.1,0.31,0.93,2.99,8.57,0.41,2.37,1.86,67%,2.37,88%,83%,7.53,0,,0.41,0.1
,  ,Clancy Biten Valere,£500K  £1.5M,1.21,109,Jupiler Pro League,,,,6.11,0.08,156,18%,"1,149.50",0.11,,0.02,0.08,0.02,0.05,27%,3.13,0.55,2%,2.66,0.08,3%,2,12.2km,1.02,46.7,41.18,13.62,13.55,4.66,0.16,0.43,0.12,0.47,1.1,2.54,13.9,0.94,2.35,1.21,51%,3.13,82%,88%,7.44,0.12,0.39,0.94,0.16
,  ,Sturla Ottesen,£2.5M  £7.6M,1.45,119,Jupiler Pro League,,,,6.39,0.26,244,,,0.09,,0.07,,0.07,0.13,11%,3.69,0.58,9%,2.83,0.26,9%,10,12.8km,1.13,45.76,39.37,18.52,14.41,5,0.16,0.5,0.05,0.5,1.05,2.1,12.81,0.73,3.01,0.65,58%,3.09,79%,86%,9.46,0.18,0.16,0.73,0.08
Wnt,  ,Josep Miquel Campeny,£6M  £18M,2.26,142,Austrian Premier Division,,,,5.01,0.2,125,9%,748.67,0.09,,0.12,0.12,0.12,0.09,26%,2.72,0.52,11%,1.76,0.2,11%,5,12.5km,1.52,55.02,49.45,14.15,11.18,5.97,0.4,1.36,0.36,0.4,0.88,1.96,12.7,0.96,2.32,0.08,54%,2.32,78%,90%,10.22,0.08,0.12,0.96,0.2
,  ,Davide Grassini,£70K  £200K,1.62,103,Serbian SuperLeague,,,,3.46,1.33,70,,,0.14,,0.01,,0.01,0.06,33%,1.09,0.15,18%,9.73,1.48,15%,27,12.4km,2.17,36.88,31.3,14.22,14.47,3.6,0.1,0.15,0.05,0.69,0.94,3.8,12.79,1.04,3.11,0.74,31%,3.41,93%,85%,11.4,0.25,0.25,1.23,0.1
,  ,Dejan Bogunović,£325K  £1M,1.4,115,Serbian SuperLeague,,,,4.58,0.27,101,13%,"1,985.00",0.09,,0.04,0.05,0.04,0.1,13%,2.58,0.32,10%,2.58,0.27,11%,6,11.9km,1.04,46.16,41.26,14.96,15.69,5.98,0.09,0.36,0.05,0.63,1.41,2.22,13.69,1.13,2.4,0.91,56%,2.36,79%,89%,7.98,0.27,0.09,1.13,0.14
,  ,Johannes Berchtold,£180K  £550K,1.46,90,Austrian Premier Division,,,,6.46,0.31,248,20%,"1,151.00",0.02,,0.06,0.08,0.06,0.14,40%,3.7,0.47,10%,2.87,0.31,11%,12,12.5km,0.47,45.14,39.02,16.58,19.39,4.77,0.1,0.39,0.16,0.81,1.64,1.95,9.2,0.94,1.72,0.99,57%,2.4,90%,86%,7.9,0.16,0.05,0.94,0.05
,  ,Filip Žunić,£70K  £210K,0.85,90,Serbian SuperLeague,,,,7.07,0.59,191,,,0.1,,0.03,,0.03,0.06,17%,4.63,0.78,16%,3.52,0.59,17%,16,12.4km,0.74,46.78,39.44,11.37,12.15,5.11,0.07,0.44,0.07,0.59,1.63,1.81,12.41,0.96,1.81,0.78,65%,1.81,84%,84%,8.26,0.07,0.11,0.96,0.15
Wnt,  ,Srđan Joković,£70K  £200K,0.84,90,Serbian SuperLeague,,,,7.46,0.29,178,20%,"2,148.00",0,,0.03,0.04,0.03,0.15,20%,5.49,1.05,18%,1.55,0.29,19%,7,11.1km,0.5,50.74,44.16,6.62,8.34,4.02,0,0.21,0.04,0.34,1.09,1.17,11.19,0.42,1.63,1.42,74%,1.68,89%,87%,4.94,0.08,,0.42,
,  ,Tom Brück,£1.1M  £3.3M,1.6,111,Austrian Premier Division,,,,4.5,0.33,69,,,0.07,,0,,0,0,,2.67,0.33,13%,2.41,0.33,14%,5,12.2km,0.78,48.39,40.7,13.17,18.59,5.87,0,,,1.3,1.89,2.22,10.7,0.98,1.7,0.52,59%,2.22,74%,84%,7.43,0.13,0.2,0.98,0.07
,  ,Victor Eppler,£275K  £800K,0.88,103,Austrian Premier Division,,,,5.98,0.92,188,,,0.08,,0.11,,0.11,0.13,4%,3.5,0.45,26%,3.43,0.92,27%,29,12.3km,0.89,46.14,40.42,14.28,21.18,5.15,0.16,0.86,0.03,0.64,1.81,2.04,10.56,1.14,2.04,0.73,59%,2.42,88%,88%,6.81,0.13,0.06,1.14,0.06
,  ,Bojan Mandić,£230K  £700K,1.52,117,Serbian SuperLeague,,,,5.66,0.21,138,5%,"2,194.00",0.02,,0.1,0.04,0.1,0.11,18%,3.81,0.9,11%,1.72,0.21,12%,5,12.4km,1.19,46.27,39.34,13.58,15.79,5.33,0.25,0.9,0.16,0.37,1.27,2.17,13.33,0.82,1.68,0.9,67%,2.46,78%,85%,8.04,0.16,0.04,0.82,0.12
Wnt,  ,Jürgen Lefebvre,£600K  £1.8M,1.15,116,Jupiler Pro League,,,,6.21,0.1,128,,,0.02,,0,,0,0.02,0%,3.83,0.44,10%,0.97,0.1,10%,2,11.9km,0.19,52.43,46.99,9.37,10.68,4.71,0.05,0.05,0,0.92,1.41,1.75,11.8,0.78,2.43,1.07,62%,2.43,83%,90%,6.36,0.19,0.05,0.78,
,  ,Lars Stöckl,£450K  £1.4M,1,108,Austrian Premier Division,,,,5.45,0.28,137,6%,"2,261.00",0.1,,0.07,0.04,0.07,0.11,6%,3.46,0.72,15%,1.79,0.28,16%,7,11.7km,1.15,44.42,38.57,12.38,14.81,4.54,0.12,0.64,0.04,0.48,1.35,1.91,13.06,1.19,2.43,0.96,64%,2.47,84%,87%,8.04,0.08,0.28,1.19,0.08
,  ,Eus Waayers,£200K  £600K,1.03,109,Serbian SuperLeague,,,,4.67,0.39,154,7%,"2,966.00",0.07,,0.04,0.03,0.04,0.08,27%,3.25,0.58,12%,3.13,0.39,13%,13,12.8km,1.49,41.94,37.26,14.53,13.17,5.22,0.12,0.46,0.12,0.64,1.15,2.49,14.02,0.76,2.43,0.46,69%,2.18,72%,89%,8.68,0.06,0.06,0.76,
,  ,Aleksandar Kadijević,£650K  £2M,1.5,108,Serbian SuperLeague,,,,4.57,0.2,115,,,0.08,,0,,0,0.05,0%,2.82,0.2,8%,2.34,0.2,8%,5,12.5km,1.11,47.68,41.57,14.33,12.82,6.35,0.04,0.04,0,0.64,1.23,1.95,11.35,0.83,2.3,0.56,62%,2.9,86%,87%,9.09,0.08,0.12,0.83,0.2
,  ,Henrik Molvær Melland,£2.4M  £7.2M,1.06,115,Jupiler Pro League,,,,4.14,0.04,103,,,0.13,,0.06,,0.06,0.13,27%,2.29,0.28,2%,1.85,0.04,2%,1,11.7km,1.09,45.22,40.36,12.5,13.31,5.59,0.08,0.44,0.12,0.52,1.61,2.09,12.22,0.68,1.89,0.64,55%,2.05,70%,89%,7.07,0.04,0.4,0.68,0.16
,  ,Senne Recker,£350K  £1.1M,1.81,108,Jupiler Pro League,,,,7.15,0.06,130,,,0.05,,0.04,,0.04,0.2,0%,4.73,0.99,9%,0.61,0.06,9%,1,11.5km,0.39,54.19,46.54,7.21,4.9,3.69,0.11,0.22,0,0.39,1.16,1.93,14.36,0.17,1.43,0.72,66%,1.32,69%,86%,4.79,0.17,0.11,0.28,
,  ,Branislav Milanović,£140K  £425K,1.21,112,Serbian SuperLeague,,,,3.5,0.38,91,,,0.01,,0.01,,0.01,0.29,0%,1.88,0.23,13%,2.92,0.38,13%,10,12.8km,1.27,44.56,39.14,13.98,15.94,4.84,0,0.04,0,0.88,1.31,2.5,13.33,0.77,2.19,0.85,54%,2.3,85%,88%,9.76,0.12,,0.77,
Int,  ,Maron Birnir Reynisson,£40K  £120K,0.65,100,Serbian SuperLeague,,,,5.45,0.68,88,,,0.04,,0.01,,0.01,0.13,0%,3.29,0.56,31%,2.17,0.68,31%,11,12.2km,0.68,46.61,39.42,13.57,16.18,5.52,0,0.06,0,0.87,1.12,2.42,10.91,0.81,2.11,0.62,60%,2.6,82%,85%,9.05,0.06,0.19,0.81,
Wnt,  ,Tomasz Zając,£500K  £1.6M,1.65,113,Jupiler Pro League,,,,6.63,0.54,49,14%,665,0.09,,0.21,0.14,0.21,0.22,29%,4.6,0.68,20%,2.71,0.54,20%,4,12.1km,0.95,42.9,37.76,13.67,13.53,4.2,0.14,0.95,0.27,0.27,1.22,2.3,14.62,0.95,3.25,0.81,69%,3.52,93%,88%,9.61,0,0.14,0.95,0.27
,  ,Dario Gasser,£140K  £425K,0.83,100,Jupiler Pro League,,,,3.84,0.11,144,13%,"3,373.00",0.02,,0.04,0.03,0.04,0.17,38%,2.19,0.16,5%,1.97,0.11,5%,4,12.4km,0.67,46.11,39.3,15.48,19.05,5.63,0.08,0.21,0.08,0.69,1.36,2.19,9.23,0.91,2.51,0.69,57%,2.48,82%,85%,8.43,0.24,0.05,0.91,0.03
Int,  ,El Hadji Malick Diouf,£5.8M  £17.5M,2.07,142,Austrian Premier Division,,,,4.93,0.27,199,,,0.12,,0.06,,0.06,0.1,17%,3.39,0.57,18%,1.44,0.27,19%,11,12.8km,1.96,48.32,42.6,14.64,13.53,7.31,0.17,0.57,0.1,0.59,0.92,2.06,16.26,1.31,3.15,0.37,69%,3.25,78%,88%,8.8,0.2,0.27,1.31,0.2
Wnt,  ,Kenan Wiesemes,£950K  £2.8M,0.94,108,Jupiler Pro League,,,,5.07,0.67,173,,,0.08,,0.02,,0.02,0.11,0%,2.64,0.35,15%,4.22,0.67,16%,23,12.7km,1.06,40.37,34.83,15.3,17.77,3.64,0,0.15,0,0.47,1.41,2.05,7.62,1,2.37,0.26,52%,2.08,73%,86%,9.53,0,0.26,1,
Int,  ,Jordan Bos,£3.1M  £9.2M,0.9,115,Jupiler Pro League,,,,3.79,0.34,113,,,0.19,,0.01,,0.01,0.08,0%,2.31,0.13,16%,2.08,0.34,16%,10,12.8km,0.87,47.24,41.88,15.71,10.55,6.03,0,0.1,0,1.01,1.47,2.48,14.34,1.04,1.81,0.34,61%,2.95,90%,89%,9.21,0.23,0.17,1.04,0.17
,  ,Ben Johnson,£4.1M  £12.5M,1.65,135,Jupiler Pro League,,,,5.6,0.33,204,,,0.17,,0.07,,0.07,0.11,29%,2.83,0.47,20%,1.65,0.33,20%,12,12.9km,1.02,49.42,43.65,14.66,11.31,6.62,0.14,0.58,0.16,0.52,0.82,2.42,13.4,0.66,2.88,0.66,50%,3.02,81%,88%,8.57,0.16,0.19,0.66,0.08
,  ,Jackie Heylen,£2M  £6M,1.34,112,Jupiler Pro League,,,,6.81,0.17,279,6%,"3,688.00",0.05,,0.06,0.02,0.06,0.14,6%,4.61,0.78,17%,0.98,0.17,18%,7,11.3km,0.34,51.93,45.15,9.3,10.2,4.34,0.1,0.41,0.02,0.54,1.29,1.85,15.11,0.54,1.93,1.37,68%,2.03,82%,87%,5.66,0.15,0.02,0.54,0.07
Wnt,  ,Ollie Scarles,£12M  £35M,1.6,133,Jupiler Pro League,,,,5.04,0.13,192,13%,"3,430.00",0.1,,0.04,0.03,0.04,0.2,25%,2.89,0.55,15%,4.28,0.66,15%,5,12.2km,0.79,50.93,45.71,11.41,9.5,6.11,0.08,0.21,0.05,0.5,1.13,2.34,15.19,0.71,2.41,0.26,57%,2.76,81%,90%,7.66,0.24,0.03,0.71,0.1
,  ,Erwan Collignon,£220K  £650K,0.94,101,Jupiler Pro League,,,,4.86,0.1,148,8%,"2,743.00",0.07,,0.04,0.03,0.04,0.09,15%,2.76,0.2,4%,2.03,0.1,5%,3,12.2km,1.18,46.95,40,15.45,17.49,5.41,0.16,0.43,0.07,0.95,1.44,2.46,9.65,0.95,2.23,0.69,57%,2.2,83%,85%,8.4,0.13,0.03,0.95,0.07
Inj,  ,Luca Baumgarten,£375K  £1.1M,1.46,107,Austrian Premier Division,,,,5.91,0.11,165,6%,"2,514.00",0.09,,0.09,0.04,0.09,0.15,19%,3.72,0.57,6%,1.72,0.11,6%,3,13.0km,0.75,46.75,40.99,14.57,17.65,5.62,0.07,0.57,0.11,0.68,1.07,2.4,11.71,0.86,1.75,1.32,63%,1.86,73%,88%,7.84,0.18,0.14,0.86,0.21
Loa,  ,Marcel Maurer,£30K  £95K,1.04,81,Austrian Premier Division,,,,5.43,0.3,126,,,0.08,,0,,0,0.08,0%,3.01,0.22,10%,2.76,0.3,11%,7,12.5km,0.73,45.6,39.44,14.51,22.44,4.74,0,0.04,0,1.03,1.94,1.98,7.58,0.78,2.67,0.43,56%,3.14,83%,86%,7.19,0.17,0.13,0.78,0.04
,  ,Aleksa Bjelica,£16K  £50K,2.33,81,Serbian SuperLeague,,,,7.18,0.17,85,,,0.04,,0.01,,0.01,0.09,0%,5.07,0.25,6%,2.53,0.17,7%,2,12.4km,0.17,48.71,40.36,11.99,18.32,5.49,0,0.08,0,0.76,1.6,1.94,6.16,1.01,1.86,0.17,71%,1.52,67%,83%,6.5,0.34,0.08,1.01,0.08
,  ,Daniel Svensson,£1.5M  £4.6M,1.06,116,Jupiler Pro League,,,,5.39,0.49,144,50%,"1,202.50",0.16,,0.02,0.07,0.02,0.14,50%,2.77,0.41,20%,2.36,0.49,21%,13,12.4km,1.16,45.43,39.52,14.52,10.55,5.84,0.04,0.15,0.07,0.97,1.38,2.17,13.06,1.31,2.36,0.56,51%,2.32,65%,87%,9.77,0.15,0.15,1.31,
Wnt,  ,Martin Moormann,£1.4M  £4.1M,1.77,130,Austrian Premier Division,,,,6.76,0,204,,,0.05,,0.04,,0.04,0.1,25%,4.61,0.7,,0.07,0,0%,0,11.4km,0.17,58.94,53.24,5.67,3.68,3.85,0.1,0.4,0.1,0.4,0.99,2.25,15.71,0.07,1.06,0.96,68%,1.29,85%,90%,3.15,0.17,0.1,0.07,
,  ,Ivan Petrović,£60K  £180K,1,101,Serbian SuperLeague,,,,4.03,0.34,72,,,0.05,,0.02,,0.02,0.11,33%,2.13,0.28,10%,3.24,0.34,10%,6,12.9km,0.78,46.48,38.54,15.77,16.22,5.48,0,0.17,0.06,0.56,1.17,2.29,9.84,1.06,2.91,0.73,53%,3.08,83%,83%,8.28,0.11,0.11,1.06,0.06
,  ,Jochem Ritmeester van de Kamp,£4M  £12M,1.47,115,Jupiler Pro League,,,,4.39,0.2,152,6%,"1,557.00",0.27,,0.15,0.06,0.15,0.16,33%,1.68,0.06,7%,2.86,0.2,7%,7,12.3km,1.07,40.32,33.9,12.75,11.5,3.44,0.2,0.95,0.32,0.58,1.1,1.76,11.88,1.04,2.75,0.03,38%,2.25,84%,84%,10.64,0.06,0.49,1.04,0.2
,  ,Flavius Daniliuc,Not for Sale,1.5,123,Austrian Premier Division,,,,6.02,0.05,116,,,0.07,,0.03,,0.03,0.1,17%,4.52,0.62,4%,1.25,0.05,4%,1,11.8km,0.78,48.53,42.61,12.35,9.65,4.62,0.1,0.31,0.05,0.52,1.04,1.87,13.91,0.67,2.44,0.62,75%,2.65,81%,88%,7.27,0.1,0.1,0.67,0.1
,  ,Branislav Milanov,£45K  £130K,0.93,94,Serbian SuperLeague,,,,7.01,0.58,170,,,0.09,,0.03,,0.03,0.13,40%,4.25,0.54,15%,3.63,0.58,16%,14,12.5km,0.82,46.79,39.66,13.73,13.61,6.68,0.04,0.21,0.08,0.87,1.36,2.06,10.43,0.99,1.98,0.54,61%,2.35,88%,85%,7.34,0.16,0.12,0.99,0.04
,  ,Miloš Stanković,£55K  £170K,2,98,Serbian SuperLeague,,,,7.97,0.62,154,,,0.04,,0.04,,0.04,0.09,11%,5.12,1.04,21%,2.85,0.62,22%,12,12.8km,0.67,46.79,38.82,15.89,19.56,5.74,0.21,0.47,0.05,0.47,1.4,1.71,12.01,0.83,2.12,0.57,64%,1.91,80%,83%,6.99,0.1,0.05,0.83,0.05
,  ,Michał Karbownik,£1.2M  £3.5M,1.96,117,Serbian SuperLeague,,,,3.53,0.53,80,,,0.14,,0,,0,0.04,50%,1.76,0.31,21%,2.47,0.53,21%,12,12.5km,1.5,45.04,38.69,14.43,15.31,5.82,0.04,0.09,0.04,0.79,1.85,2.34,10.46,1.5,2.56,0.31,50%,2.65,80%,86%,8.69,0.31,0.13,1.5,0.22
,  ,Jovan Đurić,£300K  £900K,1.09,101,Serbian SuperLeague,,,,5.48,0.23,188,,,0.02,,0.01,,0.01,0.09,0%,3.47,0.35,7%,3.15,0.23,7%,8,12.5km,1.05,43.67,36.64,15.32,16.1,5.22,0.06,0.09,0,0.88,1.81,2.07,8.17,1.05,2.13,0.7,63%,1.87,74%,84%,9.22,0.12,0.03,1.05,0.03
,  ,Melvyn Dapa,£140K  £425K,0.9,107,Jupiler Pro League,,,,4.62,0.18,75,,,0.05,,0.01,,0.01,0.04,0%,2.03,0.31,9%,1.97,0.18,9%,3,11.9km,1.36,45.65,40.16,12.81,16.32,5.3,0.12,0.18,0,0.55,1.23,2.34,9.43,0.74,1.97,0.62,44%,1.97,71%,88%,7.39,0.12,0.12,0.74,
IPR,  ,Miljan Đorđević,£325K  £1M,1.62,118,Serbian SuperLeague,,,,4.52,0.18,172,8%,"1,142.33",0.07,,0.08,0.08,0.08,0.08,28%,2.68,0.39,8%,2.13,0.18,9%,7,12.2km,0.58,46.04,40.42,17.07,13.29,4.91,0.29,0.95,0.26,0.39,1.26,2.1,14.1,0.87,2.31,1,59%,2.23,73%,88%,9.4,0.11,0.03,0.87,0.08
,  ,Julian Keiblinger,£325K  £950K,1,99,Austrian Premier Division,,,,5.43,0.39,97,,,0.07,,0.04,,0.04,0.14,20%,2.63,0.28,13%,2.85,0.39,14%,7,12.4km,1.06,45.17,39.96,14.44,13.26,4.93,0,0.28,0.06,0.62,1.12,2.69,11.64,0.67,2.69,1.68,48%,3.3,83%,88%,8.79,0.06,0.22,0.67,0.06
,  ,Matteo Schablas,£800K  £2.4M,1.61,123,Serbian SuperLeague,,,,5.54,0.12,93,13%,"1,511.00",0.16,,0.02,0.06,0.02,0.05,13%,3.57,0.6,6%,1.85,0.12,6%,2,12.5km,1.85,45.51,38.54,13.28,14.65,4.94,0.18,0.48,0.06,0.77,1.19,2.38,11.02,1.13,2.14,0.24,65%,1.97,67%,85%,8.76,0.12,0.06,1.13,0.06
IPR,  ,Predrag Rodić,£275K  £800K,1.65,114,Serbian SuperLeague,,,,6,0.15,202,,,0.03,,0.11,,0.11,0.16,17%,4.01,0.53,9%,1.54,0.15,10%,5,13.0km,0.56,43.26,38.78,18.5,14.97,4.75,0.09,0.71,0.12,0.65,1.51,2.52,10.3,1.04,2.85,0.45,67%,2.7,75%,90%,9.23,0.33,0.09,1.04,0.06
,  ,Benno Petersen,£475K  £1.4M,1.14,101,Austrian Premier Division,,,,6.97,0.36,173,9%,"1,116.50",0.05,,0.08,0.08,0.08,0.09,23%,5.16,0.48,11%,3.22,0.36,11%,9,12.1km,0.77,47.6,40.99,12.01,19.83,4.88,0.24,0.89,0.2,0.52,1.37,1.93,9.15,0.64,2.02,0.36,74%,1.85,71%,86%,7.21,0.16,0.08,0.64,0.08
Inj,  ,Nicolas Oliveira,£375K  £1.2M,1,107,Jupiler Pro League,,,,5.19,0.15,102,,,0.11,,0.03,,0.03,0.07,0%,3.61,0.31,6%,2.49,0.15,6%,3,13.4km,1.78,45.46,39.31,15.51,16.78,5.44,0.15,0.41,0,1.17,1.22,2.69,10.37,0.76,1.93,0.56,70%,2.34,90%,86%,8.75,0.1,0.25,0.86,0.15
Wnt,  ,Orkun Kından,£1.9M  £5.8M,1.05,118,Jupiler Pro League,,,,5.6,0,44,,,0.05,,0.01,,0.01,0.04,0%,3.95,0.76,,2.29,0,0%,0,13.1km,0.76,47.74,43.66,14.51,13.88,4.84,0.13,0.13,0,0.76,1.78,2.67,9.55,0.51,1.65,0.51,70%,1.65,59%,91%,8.27,0,0.13,0.51,
Wnt,  ,Nemanja Stevanović,£75K,1.33,78,Serbian SuperLeague,,,,6.37,0.53,133,,,0.02,,0,,0,0.01,100%,4.03,0.19,15%,3.35,0.53,16%,11,12.2km,1.05,45.77,38.82,13.04,16.15,6.04,0,0.05,0.05,1.1,1.73,2.2,12.36,1.34,2.3,0.96,63%,2.16,75%,85%,8,0.05,0.14,1.87,
,  ,Claudio Iannacone,£800K  £2.4M,1.2,114,Jupiler Pro League,,,,3.96,0.13,90,11%,"2,047.00",0.04,,0.03,0.04,0.03,0.08,33%,2.59,0.18,4%,2.68,0.13,5%,3,12.7km,0.97,46.21,39.44,17.98,15.26,5.5,0.09,0.4,0.13,0.48,1.41,2.55,15.61,1.19,2.33,1.06,66%,2.59,88%,85%,9.32,0.26,,1.19,0.04
,  ,Kenzo Jacobs,£150K  £450K,1.6,107,Serbian SuperLeague,,,,5.43,0.43,38,,,0.11,,0.03,,0.03,0.23,0%,4.57,0.57,15%,2.86,0.43,15%,3,11.7km,1,47.71,42.29,12.71,19.43,6.14,0,0.14,0,1,0.29,2.29,11.71,0.29,2.43,1,84%,2.86,91%,89%,7.86,0,,0.29,
,  ,Stefano Borioni,£350K  £1M,1.12,111,Jupiler Pro League,,,,7.56,0.1,226,,,0.05,,0.01,,0.01,0.07,17%,4.85,1,23%,0.44,0.1,23%,3,11.5km,0.17,55.56,46.79,5.69,5.09,3.82,0.07,0.2,0.03,0.4,1.54,1.74,11.88,0.23,1.37,1.44,64%,1.64,84%,84%,3.68,0.37,0.2,0.23,
Lst,  ,Anderson Arroyo,£100K,1.62,116,Jupiler Pro League,,,,5.12,0.17,118,,,0.07,,0.03,,0.03,0.12,20%,2.51,0.48,7%,2.34,0.17,7%,4,12.4km,0.56,46.47,41.45,13.09,12.27,5.12,0.13,0.22,0.04,0.48,1.56,1.95,12.01,0.91,2.69,0.35,49%,2.95,79%,89%,8.8,0.13,0.3,0.91,
,  ,Saël Kumbedi,£9.2M  £27M,1.77,134,Jupiler Pro League,,,,3.4,0.2,138,4%,"3,648.00",0.1,,0.09,0.02,0.09,0.14,12%,1.31,0.2,12%,1.58,0.2,13%,8,12.3km,1.8,48.63,44.51,13.2,13.94,7.67,0.22,0.62,0.07,0.57,1.01,2.15,14.53,0.74,2.32,1.04,38%,2.96,87%,92%,9.03,0.12,0.1,0.76,0.1
,  ,Petar Graonja,£220K  £650K,1.57,103,Serbian SuperLeague,,,,5,0.29,87,,,0.13,,0.01,,0.01,0.25,0%,3.73,0.46,13%,2.18,0.29,13%,5,12.4km,0.69,48.65,42.96,15.51,17.75,6.43,0,0.06,0,0.63,1.38,2.41,11.54,0.8,2.87,0.52,75%,3.5,84%,88%,9.07,0.23,0.11,0.8,0.23
Wnt,  ,Lorenz Rusch,£40K  £130K,1.32,111,Austrian Premier Division,,,,5.87,0.52,148,6%,"2,270.00",0.13,,0.08,0.04,0.08,0.12,18%,3.17,0.44,27%,1.9,0.52,27%,13,12.7km,0.99,45.12,38.97,15.94,13.88,4.52,0.16,0.67,0.12,0.79,1.39,2.34,12.53,0.99,2.38,0.87,54%,2.3,84%,86%,8.29,0.04,0.2,0.99,0.2
Wnt,  ,Joseph Ajayi,£4.4M  £13.5M,1.27,131,Jupiler Pro League,,,,4.15,0.26,79,6%,"1,714.00",0.08,,0.07,0.05,0.07,0.08,19%,2.15,0.16,29%,0.89,0.26,29%,5,12.6km,1.16,49.62,44.84,14.28,15.49,6.62,0.32,0.84,0.16,0.47,0.79,3.57,10.08,0.53,1.58,0.42,52%,2.1,80%,90%,8.77,0.21,0.11,0.53,0.05
Wnt,  ,Stéphane Hinault,£2M  £6M,1.04,124,Jupiler Pro League,,,,5.54,0.7,103,,,0.08,,0.01,,0.01,0.03,0%,3.01,0.43,28%,2.42,0.7,29%,13,12.7km,0.81,44.6,38.73,15.87,16.41,4.95,0.11,0.22,0,0.48,0.97,2.1,11.3,0.86,2.96,0.43,54%,3.17,80%,87%,9.36,0.05,,0.86,0.16
Inj,  ,Régis Lusadisu,£1.7M  £5.2M,1.64,118,Jupiler Pro League,,,,4.13,0.24,136,5%,"2,967.00",0.05,,0.08,0.03,0.08,0.14,16%,2.24,0.09,12%,1.97,0.24,12%,8,12.8km,0.76,45.96,40.77,15.96,11.34,4.73,0.15,0.58,0.09,0.82,0.79,2.12,16.62,0.67,2.58,0.58,54%,3.31,92%,89%,9.43,0.18,0.03,0.67,0.06
Inj,  ,Đorđe Vladisavljević,£140K  £400K,0.92,101,Serbian SuperLeague,,,,5.5,0.26,125,25%,"2,045.00",0.09,,0.01,0.04,0.01,0.08,50%,3.43,0.35,9%,4.18,0.4,9%,6,12.1km,0.97,46.65,40.62,13.82,15.36,5.37,0.04,0.18,0.09,0.84,1.32,2.6,10.83,0.92,2.33,0.44,62%,2.33,74%,87%,9.2,0.09,0.13,0.92,0.13
Inj,  ,David Puczka,£950K  £2.8M,1.67,124,Austrian Premier Division,,,,4.91,0.43,150,11%,"2,748.00",0.06,,0.03,0.03,0.03,0.09,11%,3.34,0.59,16%,2.52,0.43,17%,13,12.8km,1.34,47.82,41.79,14.12,15.26,5.9,0.2,0.29,0.03,0.72,1.15,2.23,12.31,0.79,2.39,0.16,68%,2.26,81%,87%,8.19,0.03,0.13,0.79,0.13
,  ,Rayhan El Grafel,£1.2M  £3.6M,1.4,112,Jupiler Pro League,,,,3.77,0.5,127,6%,"3,034.00",0.08,,0.06,0.03,0.06,0.11,24%,2.31,0.27,27%,1.84,0.5,27%,17,12.3km,1.66,47.2,42.12,13.41,15.75,4.3,0.15,0.5,0.12,0.47,1.01,2.49,10.29,0.68,1.9,0.62,61%,2.05,85%,89%,8.16,0.06,0.12,0.68,
,  ,Andrija Marković,£200K  £600K,1.17,97,Serbian SuperLeague,,,,8.39,0.9,233,7%,"2,500.00",0.14,,0.06,0.04,0.06,0.11,14%,5.94,0.9,16%,5.33,0.9,17%,25,12.4km,1.26,47.23,39.6,13.28,15.59,5.44,0.14,0.5,0.07,0.54,1.69,1.91,11.45,1.22,2.16,0.54,71%,2.2,87%,84%,7.06,0.07,0.25,1.22,
,  ,Pascal Fallmann,£1.5M  £4.6M,1.28,116,Austrian Premier Division,,,,5.75,0.16,177,3%,"2,770.00",0.09,,0.13,0.03,0.13,0.11,16%,3.77,0.39,9%,1.72,0.16,9%,5,12.5km,1.66,47.44,41.2,13.52,16.96,6.17,0.36,1.2,0.19,0.78,1.01,2.73,9.49,0.78,2.24,0.75,66%,2.14,71%,87%,8.25,0.1,0.03,0.78,0.03
,  ,Jonas Wolf,£1.6M  £4.9M,1.54,115,Austrian Premier Division,,,,4.13,0.39,96,,,0.02,,0.01,,0.01,0.11,0%,1.72,0.22,23%,1.63,0.39,24%,9,12.5km,1.55,46.4,40.89,15.35,12.51,5.5,0,0.09,0,0.77,1.25,2.32,13.93,0.82,2.41,0.65,42%,2.75,77%,88%,8.21,0.17,0.17,0.82,
,  ,Csaba HevesiTóth,£900K  £2.7M,1.36,116,Austrian Premier Division,,,,4.92,0.3,115,,,0.03,,0.01,,0.01,0.07,0%,2.57,0.38,13%,2.22,0.3,13%,7,12.7km,1.33,46.8,40.89,15.4,13.05,5.77,0.04,0.13,0,0.6,1.15,2.57,9.92,1.15,2.91,0.86,52%,2.48,67%,87%,8.56,0.21,0.13,1.15,
