Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Dylan Sharp,£0,0.67,43,JD Cymru Premier,,,,5.67,0.54,159,10%,504.4,0.06,,0.24,0.18,0.24,0.14,22%,2.03,0.36,13%,5.5,0.68,12%,15,12.7km,0.54,45.64,38.65,12.17,14.74,4.85,0.43,1.78,0.39,0.79,1.5,2.03,12.42,0.86,1.75,0.5,36%,1.64,77%,85%,6.67,0.04,0.11,0.96,0.04
,  ,Keelan Williams,£0,1.54,51,JD Cymru Premier,,,,5.92,0.65,64,,,0.05,,0.1,,0.1,0.13,0%,3.05,0.09,17%,3.79,0.65,17%,7,12.0km,1.02,45.42,37.55,11.47,16.74,4.99,0.18,0.74,0,0.55,0.83,2.13,11.56,0.55,2.59,0,52%,2.77,86%,83%,7.21,0,0.18,0.55,0.09
,  ,Jordan Edwards,£0,0.33,43,JD Cymru Premier,,,,5.35,0.35,153,,,0.04,,0.04,,0.04,0.11,0%,3.28,0.42,12%,2.86,0.35,12%,10,11.8km,0.52,48.21,40.74,13.35,15.2,5.35,0.14,0.38,0,0.66,2.2,1.85,10.76,1.08,2.2,2.41,61%,2.62,79%,84%,8.25,0.1,0.07,1.08,
,  ,Dave Cooper,£0,0.55,50,JD Cymru Premier,,,,5.78,0.42,164,29%,"1,276.00",0.02,,0.02,0.07,0.02,0.08,43%,3.46,0.35,14%,3,0.42,14%,12,11.3km,0.53,46.48,39.25,10.97,11.64,4.62,0.11,0.25,0.11,0.99,1.83,2.36,16.79,0.71,2.05,0.6,60%,2.4,87%,84%,6.35,0.14,0.11,0.71,0.04
,  ,Kian Best,£4.5K  £14K,1.75,100,JD Cymru Premier,,,,6.17,0.33,149,,,0.13,,0.03,,0.03,0.1,25%,3.89,0.37,28%,5.63,0.83,15%,8,11.4km,0.29,53.59,47.34,7.99,4.8,4.47,0.12,0.33,0.08,0.66,1.53,1.49,16.28,0.91,1.78,0.33,63%,1.74,76%,88%,5.26,0.25,0.08,1.37,0.25
Trn,  ,Carter Milmore,£0,1.8,89,JD Cymru Premier,,,,6.77,0.1,198,,,0.16,,0.01,,0.01,0.1,75%,5.06,0.79,3%,2.8,0.1,4%,3,11.8km,1.44,46.57,38.61,10.63,17.71,5.37,0.1,0.14,0.1,0.82,1.23,1.81,11.15,0.65,1.95,0.14,75%,2.39,83%,83%,7.25,0.07,0.17,0.65,0.21
Trn,  ,Luke Stewart,£0,1.35,108,JD Cymru Premier,,,,5.34,0.73,153,,,0.06,,0.05,,0.05,0.13,18%,3.21,1.01,29%,2.48,0.73,30%,21,12.7km,0.8,48,42.87,17.04,10.09,6,0.07,0.38,0.07,0.42,1.19,2.09,16.34,1.08,2.79,0.77,60%,3.18,83%,89%,8.94,0.21,0.21,1.08,0.03
Trn,  ,Ryan Andrews,£0,1.33,83,JD Cymru Premier,,,,6.78,0.6,146,4%,968.5,0.1,,0.18,0.09,0.18,0.09,22%,4.69,0.51,17%,3.9,0.65,17%,13,12.1km,1.07,44.51,38.05,14.91,13.24,4.46,0.79,2.09,0.46,0.6,2.04,1.91,13.75,1.53,1.86,0.6,69%,1.86,78%,85%,7.06,0.09,0.28,1.53,0.42
Int,  ,Bradley Pritchard,£4K  £12K,2.14,83,JD Cymru Premier,,,,6.95,0.65,118,6%,764,0.08,,0.22,0.12,0.22,0.1,29%,3.3,0.53,13%,4.89,0.65,13%,11,11.9km,0.88,49.06,42.64,15.02,12.66,4.06,0.65,2.06,0.59,0.77,1.35,2.36,15.96,0.82,1.88,0.82,47%,1.59,77%,87%,7.36,0.18,,0.82,0.24
,  ,Zain Tahir,£2K  £5K,1.76,86,JD Cymru Premier,,,,5.35,0.51,198,,,0.05,,0.03,,0.03,0.1,10%,3.27,0.38,17%,2.86,0.51,18%,19,12.5km,0.41,47.16,40,13.3,15.86,5.62,0.11,0.27,0.03,0.73,1.68,2.14,13.76,1.27,2.57,1.03,61%,2.24,70%,85%,6.86,0.19,0.11,1.27,0.03
